Element ,bubble sort,insertion sort,selection sort,quicksort,merge sort
20,10700,4605,7012,10596,16832
40,31263,10573,18759,11619,28574
60,61586,22375,36033,17149,46088
80,112143,39431,62865,27454,134656
100,177905,63480,96210,29967,87940
120,275121,88403,151638,54337,26880
140,341515,114105,185155,17520,20611
160,458601,157351,241164,12267,21402
180,569130,190617,301152,13204,28196
200,552386,279697,466675,17364,38918
220,156134,273619,109782,32142,89851
240,251754,679416,211455,26788,59993
260,278753,924795,214257,45466,68494
280,223303,89213,176813,27141,54244
300,266258,136487,200304,24813,60151
320,214995,130088,286011,31833,59423
340,227961,131353,255269,28907,65057
360,237018,151680,285399,31523,69420
380,247052,166828,209107,49043,87245
400,268184,188410,248935,52171,69295
420,284281,198559,186034,38071,57769
440,293179,217418,243470,59778,131872
460,250431,170496,252124,42960,65118
480,233401,112639,224836,45845,63535
500,260137,115946,238056,49186,69500
520,278365,128070,254769,48058,67377
540,306568,127636,522081,345623,96647
560,345680,184619,194363,71092,96409
580,383055,168453,197207,74552,99592
600,423510,180746,218846,77539,104586
620,457717,191388,238417,85520,106869
640,498946,83509,225777,89710,103363
660,515248,102483,262914,91449,121864
680,549340,66749,168478,407706,138531
700,573232,106304,345989,118583,126778
720,593618,101037,644960,115918,140856
740,608653,93124,243618,38895,110685
760,666177,123057,341786,47797,139915
780,671453,129901,370220,50391,139558
800,682133,133771,361961,47902,146914
820,629750,81424,222561,39325,98378
840,643880,82181,234330,40206,99518
860,645070,86169,250414,40727,160926
880,816804,150711,340573,56020,238870
900,890991,132118,407496,61165,237173
920,1034293,172809,506434,59799,169998
940,1007823,207511,593999,60487,169660
960,1014950,201998,497928,61461,224066
980,1117067,198734,644395,60474,300424
1000,1136584,305872,729650,90461,729890
1020,1305289,226302,623719,67092,194598
1040,1217453,197240,598305,64661,189264
1060,1279705,243736,607373,85085,494583
1080,1540631,268692,586797,184151,1337393
1100,1547457,298480,700016,74062,163929
1120,1106182,138610,396131,54748,133168
1140,1161735,190664,588811,88813,313733
1160,1387829,173333,540083,58723,140656
1180,1212524,163932,467914,64038,152262
1200,1301582,167621,469688,68063,168254
1220,1519428,358758,675544,74515,214999
1240,1530332,285318,712260,69637,160867
1260,1576315,266088,701160,64257,153653
1280,1683702,289359,803487,77933,197704
1300,1856443,209762,580901,67113,254037
1320,2042601,197434,597848,79956,171534
1340,2192993,294765,597072,74190,262416
1360,1771529,274605,930324,86497,253342
1380,2195893,274763,660164,76558,233803
1400,2468478,511847,863583,109978,501443
1420,2188271,551411,809737,88791,262653
1440,2485326,444748,1026087,89276,254126
1460,2268903,455880,1060526,95793,321917
1480,2605917,476727,979211,83116,263243
1500,2333516,870870,1217510,109657,335189
1520,2502679,262284,716072,80666,196956
1540,3069996,490789,1234517,157552,370322
1560,2786152,264840,881747,182827,237973
1580,2354619,287242,894355,84267,272214
1600,3098033,373408,1110245,133995,465843
1620,2835440,292560,796877,112636,208271
1640,2460639,290393,838395,85263,198211
1660,2384338,323555,830745,86994,200575
1680,2771036,375997,885745,106052,337663
1700,2668160,321594,931351,87651,229087
1720,2837193,397134,1081360,96424,318445
1740,3674861,538326,1104981,100232,443879
1760,4148117,492354,1062935,99788,225067
1780,3472008,627901,1430233,118119,320133
1800,4554893,882954,2064614,121332,1130088
1820,5082838,968075,1311796,114625,314096
1840,5103789,591444,1406536,150896,372901
1860,3813690,584486,1336995,160565,404513
1880,5251452,693933,1465845,165876,1506683
1900,3948285,878184,1573914,159573,938612
1920,29865156,676202,6526281,1036440,1432366
1940,12919096,650830,2405209,134659,362490
1960,4122294,710385,17424043,136374,366718
1980,4878706,737325,2146771,123553,339104
2000,19052614,12985197,1812132,142114,535918
2020,18184557,2249625,1864402,134638,337976
2040,6023821,631484,14855225,123676,439914
2060,33978810,678677,1598705,134839,449591
2080,17020003,803135,2116618,145444,383149
2100,4988483,9209009,2088075,139801,369251
2120,20263708,968901,1804071,152919,663821
2140,4753402,9601052,1851765,142701,491018
2160,4931688,949151,9751752,189931,1111530
2180,5745684,914879,3369604,163880,542681
2200,5924436,828765,19134455,156937,1007816
2220,10175800,1736826,2266734,153446,410975
2240,13880670,984365,2693790,155796,408622
2260,14590302,2057867,3015825,180419,432858
2280,15689032,958947,10692258,145170,759022
2300,18505467,1763908,2880438,162970,431565
2320,6548420,1448041,13167889,193562,415150
2340,6050281,1054497,7320434,161555,433317
2360,7708515,993707,2932069,155660,552892
2380,6451502,862734,2753332,150954,544911
2400,6381730,1528502,7006130,167280,715244
2420,9891527,1708502,16803722,164737,786112
2440,6490369,2443393,8469563,169909,499587
2460,6834954,1539999,8768160,166834,721556
2480,10674645,1173687,3233717,176747,798941
2500,10486089,1069690,2857067,176468,518012
2520,8772104,2941043,9220500,233788,712675
2540,8337052,1575891,3252401,172185,439897
2560,9778244,1547738,3223316,186437,595759
2580,12815091,1478070,4394294,175024,1405985
2600,12508460,1308262,3105738,172236,543008
2620,13134732,1314704,7168774,178364,650218
2640,10577093,1152533,3006498,182070,604205
2660,7838561,2195767,3119518,169467,623371
2680,9235746,1398459,7593790,201311,581587
2700,12886742,2210377,3180812,186667,646176
2720,8060379,1339547,2688297,218836,709119
2740,8668364,1567637,3005361,183634,574904
2760,14836941,1213324,3469581,189576,785500
2780,13819546,909868,2357527,150577,428585
2800,8796437,1488221,3560537,188581,577273
2820,10899498,1922389,3511843,244964,676217
2840,9871398,1780074,3502393,195290,582818
2860,11712019,2919394,3770819,197001,568629
2880,12625747,1510071,2763795,184886,370624
2900,11931807,1729797,3085197,193123,522112
2920,12604894,1566839,4099851,205213,635590
2940,10804923,973997,3415478,217638,684995
2960,12945858,1453241,3930891,470309,3202257
2980,10849340,3728310,4823123,311465,1191022
3000,11866143,1664515,3190694,183080,411303
3020,11258904,1607487,3939399,223238,587737
3040,11397203,1796396,3753162,200394,614087
3060,12850536,2038358,3370200,199514,666572
3080,10257041,1610892,4340974,200165,630946
3100,12551439,1892735,5481160,216587,792999
3120,10573880,3302346,5341572,193715,598294
3140,13995761,4157565,4659608,238352,592933
3160,12502258,3014886,4860928,226319,711278
