Element ,bubble sort,insertion sort,selection sort,quicksort,merge sort
10,6022,3403,3812,7914,11354
20,7759,3104,5280,5487,11964
30,16000,6095,10045,10944,25898
40,55983,21569,30772,17605,40063
50,65970,28348,35267,20517,65115
60,109044,40162,59498,31725,62765
70,126907,41935,76037,31634,128906
80,187033,62472,105662,37986,26896
90,192553,68065,109057,67361,25230
100,251137,80031,144425,42007,26384
110,318107,105529,164443,26319,23294
120,255926,81536,137498,9966,21081
130,293693,96201,159424,9512,23772
140,348037,124690,196757,11293,26740
150,427603,182145,346724,16162,37401
160,246444,211045,158501,20146,42120
170,224575,240414,83021,15294,61770
180,129051,301607,1336974,36404,57679
190,169820,1062504,146964,23632,49633
200,235996,83148,162367,24901,56043
210,226924,93664,198054,22012,49533
220,217057,96247,151721,25675,60511
230,226930,96759,150782,25790,58568
240,1281849,230311,261117,267300,195317
250,400657,115531,1434967,41323,322544
260,96324,167159,75545,32553,46057
270,259026,140922,56436,38166,52516
280,107903,157954,57677,37762,49676
290,116557,144856,61211,32346,45772
300,118861,175102,64998,36938,51037
310,360701,192400,69889,41702,80564
320,137340,194083,68562,39855,54220
330,131586,118637,69038,38771,52199
340,144811,151563,86934,44266,60965
350,156414,150565,90663,50273,60701
360,164768,143409,96992,46978,63756
370,169967,151117,100574,50420,64757
380,181446,150058,107471,144018,65537
390,192267,162222,97743,46620,64924
400,198278,149197,98107,49623,70416
410,214553,159077,120773,55687,69184
420,226208,157229,120250,53822,73477
430,231282,160738,130352,59120,71685
440,248788,850434,140431,56964,83333
450,244964,175435,145795,67049,76053
460,295483,164811,133397,50958,73060
470,270701,162677,137195,57032,3568545
480,260373,159950,125934,61580,85548
490,271120,159705,129797,27096,93022
500,274058,152534,131564,28931,98398
510,296557,167353,140013,28117,105551
520,306903,52916,146327,29324,107825
530,309614,54910,152035,32869,1280419
540,341016,58436,183625,33587,102154
550,365179,62285,192701,31320,100449
560,333751,58237,159061,32231,102484
570,347600,58785,163752,32420,92078
580,369980,63570,176142,32994,105212
590,377447,63385,184649,33873,105817
600,386861,71259,196055,34314,115046
610,396257,68777,204420,33229,105373
620,417298,74409,204470,35543,104529
630,429368,72316,202571,34885,119666
640,437680,85763,217054,35811,120720
650,448902,79595,222075,36669,119275
660,459205,74315,233436,37413,115564
670,472842,82498,227709,37025,182784
680,484532,89060,245814,38458,159612
690,546815,103612,315091,45150,135120
700,2095383,91798,253788,41529,146171
710,532847,91877,255738,40497,135243
720,535762,95475,269889,43567,137050
730,577594,106267,284622,42898,144253
740,866444,104524,269795,64744,221240
750,590063,103826,276814,44183,187663
760,1004140,143335,381538,57459,296866
770,902338,100877,435240,65874,233517
780,730392,207583,401546,60624,171069
790,656645,101613,288458,48958,263828
800,646664,103825,283792,57712,309303
810,635759,106031,287798,55149,344144
820,676842,112121,395470,50800,242371
830,761096,112193,316600,55102,212554
840,681323,129891,399275,52628,156120
850,776780,169774,408442,52876,157325
860,794856,139632,394058,51316,152438
870,819724,140302,404319,51856,160559
880,1363471,130776,499607,63722,216042
890,774375,128715,333791,53770,188907
900,686605,113259,277884,48233,176013
910,760426,138845,339339,64077,436009
920,1000519,203046,643352,72041,322286
930,1023411,196159,440472,139092,787276
940,1083444,164685,431367,60163,191366
950,942043,173432,518416,81923,509469
960,940317,120219,316355,58219,216581
970,895351,147806,671873,86045,450952
980,1288989,172087,649850,68402,203091
990,1098629,210867,678131,66308,212257
1000,1114877,211238,678958,70499,213490
